feature,corr_position,corr_points_finish,corr_podium,mean,std,min,max
grid,0.6206672060910813,-0.5663626433941578,-0.5178491508007839,10.504626951995373,5.765508094648849,1.0,20.0
constructor_avg_points_last_3_races,-0.5497838670199097,0.4698000567763057,0.5524825701171884,10.043859649122806,11.212135100076196,0.0,43.333333333333336
constructor_avg_finish_last_3_races,0.5464462938071579,-0.49072894731428524,-0.4859420439668293,10.488622761468337,4.080651971141041,1.5,18.5
driver_avg_grid_last_3_races,0.5251602938671973,-0.4705940313238712,-0.4780195385068544,10.449884025140486,4.5155270605306495,1.0,20.0
driver_avg_finish_last_3_races,0.5251526109260303,-0.47058702849803397,-0.478013416267733,10.449758165489802,4.51552567360142,1.0,20.0
driver_avg_points_last_3_races,0.5008105792691303,-0.4486555480268001,-0.45673124471126264,10.31925968768074,4.661670106850766,0.0,20.0
driver_points_cur_season,-0.4626098689541285,0.39523851202741767,0.4692481671029794,52.57113938692886,76.11931794222308,0.0,504.0
constructor_points_current_season,-0.4430701232229894,0.38409991689781997,0.4314843696232336,105.59687680740312,145.26817892636518,0.0,752.0
driver_podiums_cur_season,-0.4394264667605678,0.35593247962340585,0.4968746686391326,1.557836899942163,3.131619174167536,0.0,20.0
constructor_wins_current_season,-0.3556819322148224,0.2806001795383891,0.41784943126331997,1.0416425679583574,2.667474272847147,0.0,20.0
driver_wins_cur_season,-0.3498993285535525,0.2592769290398578,0.43457015811869326,0.5176402544823597,1.6498020098843698,0.0,18.0
driver_avg_points_on_circuit,-0.3416645727844142,0.29214662669041525,0.3390074194725846,3.937967400185445,5.724822571774978,0.0,26.0
driver_track_strength_score,-0.2942758254435677,0.26196988164304685,0.26981001195209264,10.90052424842043,3.8612766874014905,1.0,20.0
driver_avg_finish_on_circuit,0.2942758254435677,-0.26196988164304685,-0.26981001195209264,10.099475751579567,3.8612766874014905,1.0,20.0
driver_best_finish_on_circuit,0.28855774870807344,-0.25854580467369687,-0.2549680183357229,8.148097420220035,4.584415151845907,1.0,20.0
constructor_reliability,-0.24050390076481878,0.21438071422367092,0.2150093367608152,0.8012873483800879,0.12010864797351017,0.0,1.0
driver_dnf_rate,0.22809455026285794,-0.1996333501219704,-0.20787226339136006,0.1994335544693326,0.13050981370284417,0.0,1.0
driver_vs_teammate_finish_gap,0.16464826693266316,-0.1328633483268905,-0.16997626462975782,-0.0857490576452185,1.2212532334401371,-9.5,6.625
driver_beats_teammate_rate,-0.08643319065194628,0.055136339405660824,0.0891264702336542,0.2647257225878265,0.24746089776866156,0.0,1.0
driver_dnf_on_circuit,0.07837605292238776,-0.07043043309221836,-0.05248165996125831,0.15960723695686102,0.2431917860009335,0.0,1.0
